"","x"
"418","layanan mantap"
"419","good"
"420","oke"
"421","good job"
"422","halo coba  pesan masaiya biaya biaya mesan kalah"
"423",NA
"424","login susah tutup aplikasi"
"425","semoga awet sukses"
"426","bantu"
"427","mudah pelayanana"
"428","bagus"
"429","harga rm rm rm suka suka harga cari uang senang kot"
"430",NA
"431","kemudi ramah"
"432","ya  ribet bawa barang standar  driver tol minggu  sepi orang driver seenaknya pelayananan ramah"
"433","mantapss"
"434","god job"
"435","mantap"
"436","aplikasi awak"
"437","bantu"
"438","bagus"
"439","the best"
"440","uwooooooooo"
"441","mantap drivernya tau urgent"
"442","diskon   sekal potong "
"443","aplikasi tolol logika verifikasi nomer  pas masuk akun tangguh goblokk"
"444","lumayanterima "
"445","is the best"
"446","thank you"
"447","ok"
"448","sula driver sabar buru tenang selamat"
"449","top "
"450","promonya sukses ya"
"451","good"
"452","ya order review ulang"
"453","jelek"
"454","bagus mmbantu"
"455",NA
"456"," driver ramah"
"457","bagus kembang"
"458","mantap"
"459","kmnnmmmmmmmmmmmnmm morning"
"460","mantap"
"461",""
"462","the best"
"463","top"
"464"," admin  ceo uang  harga uang rb kasi  harga rb  kayak"
"465","bagus sekal"
"466","ok"
"467","alhamdulillah bantu"
"468","semoga  no untunk erti masarakat biar exsis"
"469","lumayanramah"
"470","ramah"
"471","mudah konsumen"
"472","sopir ramah kooperatif"
"473","mantaaaap"
"474","good"
"475","thankyou  malaysia nice drive"
"476","nyaman"
"477","character"
"478","parah  nih aplikasi aneh  bikin id aneh  stuck pas mqsukin nomer handphone"
"479","ramah sopan joozz pokokmen"
"480","character"
"481","kutengo harga ongkir mesan  reng ribu ongkir pesan ongkirnya mahal ongkir harga "
"482","assalamualaikum maaf cuman bohong ini bagus"
"483","memuaskan"
"484"," dengar keluh tumpang banding driver driver  layak budak aplikasi costumer "
"485","bantu"
"486","apa kelas  aplikasi suka bug buka menu white screen astagaaaaaaaaaaa"
"487","update instal"
"488","on bite bagus on jam pagi jam cuman order"
"489","mantap"
"490","bagus"
"491","bantu"
"492"," "
"493","good job"
"494","mudah gampang"
"495","very polite"
"496","qr kreta api biar enak"
"497",""
"498","mantap"
"499","nyaman"
"500","semoga jaya"
"501","nyaman "
"502","terima "
"503","layanan mantap"
"504","gabung"
"505","mantap"
"506","ognkomkntm"
"507",NA
"508",NA
"509"," grb anter barang byr cash"
"510",NA
"511","lumayanbagus"
"512"," thebest"
"513","terima "
"514","aplikasi   susah  instal nya"
"515","ok sekal mi"
"516","uwhwyshshskskenysgegdhd auangd rjrndindbdjdb arti cinta"
"517","ok"
"518","lumayanbagus"
"519","ok"
"520"," coba kode verivikasi nya"
"521","trima  "
"522","bags  "
"523","ramah kantong"
"524","goodjob"
"525","supir ramah"
"526","keren driver mas zola driver  batam"
"527"," nxfih xd"
"528","ok"
"529","luncur aplikasi  versi lite khusus order  bike  car menu fitur performa cepat  ruang simpan ram"
"530","aplikasi diupdate update pesan ckck butuh cepat  gehhh  dongggggggggg"
"531","bagus"
"532","jos"
"533","manfaat "
"534","lumayanbagus"
"535","kirim cepat aman"
"536",NA
"537","mcb"
"538","ok"
"539","gampang"
"540","mntap"
"541","suka promosi murah"
"542","utama nyaman ramah"
"543","mantap"
"544","bagus"
"545","bagus"
"546","topup rb  promonya topup rb pesan gilir pasang vocer promonya mesan fungsi vocer promo  manis kah kooperatif"
"547","bagus"
"548","sulit me donlot"
"549",""
"550"," miskin driver"
"551","jos"
"552","asu"
"553"," ribet"
"554","terima "
"555","nyaman"
"556","ontime"
"557","oo"
"558","jaring stabil cepat hubung kemudi tingkat saing"
"559","bagus cepat"
"560","gaspooll guys"
"561","tingkat kualitas kuantitas"
"562"," terima "
"563","bayar ovo topup utak atik pusat bantu bayar ovo hadeeh"
"564","mantap"
"565","bantu"
"566","memuaskan"
"567","mantap"
"568","good job"
"569","ok"
"570","character"
"571","Lumayan"
"572","enak"
"573","ok bhuangettt"
"574","bantu"
"575","good"
"576"," bayar tagih bayar kartu kredit ovo"
"577"," ngeleg iya"
"578","mantap drifernya ramah sopan"
"579","bagus"
"580"," food jarang cancel an"
"581","drivernya ramah sombong"
"582","ok"
"583","ok"
"584","murah fasilitas lengkap"
"585","ramah driver nya"
"586","ok"
"587","pokok mantap"
"588","manfaat"
"589","terima  berik layanan customer maksimal detail customer bantu layanan customer  berik salut  tah layanan customer semoga  maju sukses terima "
"590","los jos"
"591","good"
"592","coba coba coba download"
"593","bagus tipu"
"594","lumayanburuk pesan rocket chicken cuman menit jam selesai driver hubung app bikin kecewa batal  tunggu jam huh"
"595","oke"
"596","cepat ramah mas nya"
"597","ok"
"598","eror white scren mulu"
"599","loginnya susah "
"600","good"
"601","memuaskan"
"602","bantu"
"603","mantap"
"604","apk bagus"
"605","good"
"606","mantap"
"607","baus"
"608","ok mantap"
"609","character"
"610","ok"
"611","nomer hp pas instal ulang login  fb daftar  email kecuali nomer hp repot sekal hapus"
"612","lumayanbagus  percaya"
"613","mantap"
"614","bantu butuh"
"615","bagus deh pokok harga murah "
"616","bagus"
"617","mantap"
"618",""
"619","ramah"
"620",NA
"621","m mbantu suka murah"
"622","sopan ramah"
"623","bantu"
"624","rp"
"625","siupp"
"626","eror kah cuk kitar ku "
"627","aplikasi pusat bantu operator saudara andi sopan chat pusat bantu selesai etik langsung kah butuh waktu jadi buru buru enggan layanan saudara andi layak customer care  customer butuh andi enggan mohon timbang sodara andi lingkung "
"628","memuaskan"
"629","aplikasi bagus stabil jarang sekal kena system mudah"
"630","terima "
"631","muantap poolll"
"632","gue"
"633","memuaskan"
"634","bantu "
"635","bagus"
"636","ok"
"637","ok"
"638","dul alimgmael com"
"639","keren cuman an driver  titik jemput  hati"
"640","nama gejrot josss gandoss cita pas  kudu coba deh"
"641","mantap"
"642","mantab"
"643","suai arahann"
"644","pas"
"645","map ya"
"646","kakak  fitur food"
"647","mantap"
"648","ribet error mulu upgrade mending versi sat set cepat bayar mudah upgrade bikin kapok loading gagal keeeeccceeewaaaa nyeeeselll update alam gua asli"
"649","aplikasi bantu"
"650","driver"
"651","puas"
"652","gagal hubung server order  je order  car"
"653","bantu sekal aplikasi kendara roda"
"654","suka   trim"
"655","like"
"656",NA
"657","kirim cepat respon bagus"
"658","memuaskan"
"659","terima driver  laku ramah"
"660","fungsi"
"661","promo bayar ovo dll tunai coba update biar cash tunai enak pemakaian aplikasi ini terima "
"662",NA
"663","coba"
"664"," car hemat hemat"
"665","mantap"
"666","semoga sukses"
"667","ramah"
"668",""
"669","bego buka mitra driver stop order anyep buka setan"
"670","bagus "
"671","mulus murah cuman k k pulang pergi   pergi sekolah harga k k pulang pergi mahal belikan motor  "
"672","coba"
"673","manfaat"
"674","siiiip"
"675","ok"
"676","bagus sekal bantu"
"677","good gercep"
"678","mantap"
"679","bagus  dukung"
"680","mantap"
"681"," aplikasi  maps suai titik alamat biaya bayar sisi biaya parkir kadang bayar "
"682","buka apl  layar putih mulu "
"683","brut"
"684","penanganan  responsif  food order selesa driver komplen help center respon tinggal telpon mitra driver tau emosi orang lapar"
"685","ramah"
"686","cepat lancar mantap"
"687","pesan  rumah ongkirnya gilakk rb pura pura bikin diskon rb murah hahaha  ojek rb biaya mesan rb lain pesan ayam geprek nasi kena rb nih aplikasi edan"
"688","kualitas"
"689",""
"690","berartif"
"691","aktif "
"692","tooooooooooop"
"693","mantap "
"694"," nak penalti"
"695","sempurna"
"696","good"
"697","the best"
"698","senang"
"699","baguus kirim cepat"
"700","ribet ganggu ganggu"
"701","good"
"702","good"
"703","semoga sukses manfaat prioritaskn konsumen ramah bijak muarah jangkau masyarakat"
"704","cepat tanggap drivernye"
"705","ok my"
"706","ok"
"707","  aplikasi worth sekal  buka apk coba unsintall diinstal tulis coba coba deh langgan  loh   eh kayak"
"708","mantap"
"709","ramah"
"710","apk bantu orang indak ongkos indak takut mahal aman"
"711","good"
"712","membabtu"
"713","cepat obrol pusat bantu tinggal bentar"
"714","mantap"
"715","cepat sigap"
"716","cepat muda"
"717","bagus"
"718","terima  bantu"
"719","mantab"
"720","alamat sedia cacat rumah"
"721","  "
"722","good"
"723","jemput"
"724","suka"
"725","akurat"
"726","batal pesan tunggu jam pebih jual respon saran auto batal jam"
"727","mantab"
"728","mantap"
"729","bantu"
"730","good"
"731","apliksi grb jelek kayak driver marah marah alamat menylakan resto buka jm ambil  resto order kitar jam layananin langgan cari nafkah alamat salah resto marah  ngambil cancel off app drivernya tidur drmh gaush ngambil order  ngambil unjung marah rsto bilang dittup rstonya ya gua cari nafkah hadeh"
"732","jaga ramah ya"
"733","biaya ngotak biaya mesan biaya kemas biaya parkir mahal mending langsung beli resto murah"
"734","wow"
"735","perfect"
"736","mantap"
"737","alhamdulillah driver ramah sabar"
"738","update tanggung tanggung"
"739","aman kendali"
"740","driver ramah"
"741","tangguh"
"742"," bintang ya coba apk nya"
"743","apk bagus"
"744","bagus"
"745","susah ya  lupa a catat  chat resto langsung"
"746","mbtap"
"747","mntap"
"748","tanding deh pokokya cepat promonya"
"749","   ya  pesan mie nasi ya mie nasi nasi doang  maaf ganti vocer vocer  kirim ulang  vocer tau kecewa  asli   hati konsumen erti"
"750"," drivernya ramah tumpang maki driver  tunggu bentar kunci pagar bilang  promo belagu a tip"
"751","driver ramah"
"752","bantu"
"753","mantap jiwa"
"754","download gagal buang kuota"
"755","good job aplikasi sangat membantu sekal"
"756","thenkyu"
"757","ngeri cu nyuru orang hapus aplikasi jenis biar kupon mixue xixixi sehat"
"758","lumayan bantu"
"759","mantap semangat ya"
"760","really helpfull"
"761","cepat terima "
"762","update minn aplikasi mudah customer mesan gampang simpel umur biar sukses  nya"
"763","bngus nyaman"
"764","character"
"765","mantap"
"766","ok"
"767","bagus mantap"
"768","ramah "
"769","ok"
"770","bagus"
"771","ok"
"772","malas  biaya mesan k"
"773","menit dkt   ya ya kah ditek ya"
"774","bagus"
"775","drivernya ramah"
"776","ok"
"777","ok"
"778","terima "
"779","ok"
"780","bagus"
"781","ok"
"782","nyaman selamat"
"783","k"
"784","ok sip"
"785","mntap"
"786","ok pah "
"787","susah titik alamat"
"788","mantap deh  cuman mesen gofood  cuman mulu voucher betah pindah hehehe"
"789","download"
"790","lumayan"
"791","kak drivernya ramah terima "
"792","like"
"793","mantap"
"794","download lihat promo bike ribu eh nyata jarak murah sikuning"
"795","ok"
"796","bagus "
"797","mantap"
"798","bagus"
"799","bagus cepat"
"800","bantu"
"801","aplikasi bantu tunjang aktifitas harga ongkos ekonomis aplikasi driver thanks "
"802","mantab"
"803","sumpah ku khusus kerja medan ku tunggu balas adu pisik lihat ku sakit hati detik darah habis adu pisik ku kunci oderan ku"
"804","good"
"805","bagus"
"806","ok "
"807","top"
"808","bantu disable netra"
"809"," food offline harga aplikasi busyet beda"
"810","bantu"
"811","good"
"812","pokok enak  "
"813","bantu di bidang transfortasi"
"814"," layanananan cepat ramah drivernya"
"815","ramah cepat safety riding"
"816","mantap"
"817","pokok suka"
"818","peduli tumpang"
"819"," arah maps sulit driver cari titik lokasi jemput tunggu tumpang"
"820","download aneh"
"821","ok"
"822","terima "
"823","semoga filter otomatis sistem car biar kena ganjil genap susah  cari driver"
"824","drivers ramah obrol"
"825","lumayan hibur"
"826","supirnya sopan"
"827","force close buka komentar"
"828","bagus"
"829","google map eror"
"830","kesal"
"831",NA
"832","aplikasi bagus"
"833","au ah"
"834","besok gue pindah aplikasi cs aplikasi mapsnya salah akurat  drivernya jarak lumayan nyasarnya"
"835","skema bikin susah"
"836","bang hati pacar pacar pergi"
"837","habis update langsung force close"
"838","akurasi jemput"
