"","x"
"561","chat cs live cs via aplikasi jam milik kendala jam bantu harap iya transfer bank delay pilih komplen bantu bantu alas kelas gojek chat live aplikasi jam malu cs judi online malu usaha bonafit cs live sedia kapok aplikasi mending maxim grab"
"562","eror gopay"
"563","bagus"
"564","ok "
"565","sih malam error"
"566","bantu simpan uang mudah belanja tranportasi terim"
"567","buruk cek out belanja go send diributin driver titik map settingan alamat cek selisih m jarak rumah benerin titik lokasi map titik lokasi driver marah marah belanja volume rendah suai ekspetasi enak jasa"
"568","oke"
"569","bayar gopay konfirmasi pin muncul scan qr cs direspon jeleek nyangkut uangbukan daun"
"570","bagus"
"571",NA
"572",""
"573","ganggu tersfer bank"
"574","puas"
"575","apk mudah promonya"
"576","saldo gopay kirim rekening pending tanggal"
"577","gopay ku kena limit mulu deh bulan tf tf gopay"
"578","gojek mantap kokk bagus cuman driver cuman nunjukin gang arah rumah driver bilang iya gua tau anjr lu asih tau aneh lu nada tuh kayak sarkas omong gua pliss gojek driver kayak apak kayak enak sikap"
"579","cari lokasi cepat akurat"
"580","promo gosend nya"
"581","alam bagus"
"582",""
"583","akun susah login"
"584"," team gojek berik promo dwonk gedee setiaa bersamaa gojek"
"585","good aplication gopartner"
"586","harga mahalllllllllllllll no recomend kalangan"
"587","ok"
"588","aplikasi go jek bagus moga makmur driver go jek mantap"
"589","bantu"
"590","bagus"
"591","bantu derita sakit kemageran"
"592","aplikasi gratis serba susah sulit lelah ribet derita untung aplikasi grab jemput lancar makan belanja toko pokoke tks grab"
"593","puas ayan nya"
"594","rugi mesan gofood biaya beban mesan ongkos mahal"
"595","ok"
"596","antri ketulungan"
"597","good apps"
"598","character"
"599","mantab"
"600",""
"601","buruk"
"602"," gojek makan enak enak"
"603","mantap"
"604","mantap"
"605","cepat sen "
"606","nyaman mudah dimengerti pilih aplikasi"
"607","ok"
"608","gojek promo ya hihi puas gojek"
"609","ok"
"610",""
"611","moga saham goto saham syariah berik dividen saham goto syariah investor islam pegang semangat goto"
"612","bagus"
"613","aneh gopay gua minimal rb voucher kayak orang sedia gopay akun parah uninstall"
"614","bonus itun syarat ya dek"
"615","kaget lumayan gojek bentak driver barang gosend alamat lengkap pinggir jalan"
"616","update eror lancar bugs maps titik jemput mlenceng"
"617","saldo transaksi"
"618","sih proses bayar koneksi internet coba youtube streaming sosmed ngebut aplikasi kocag"
"619","ya"
"620","promo "
"621","good"
"622","gojek keren"
"623","mantap"
"624","masak instal daftar gopay gopay blokir ayan gojek turun"
"625","error"
"626","oke"
"627","mudah"
"628","good servis"
"629","efective cepat"
"630"," "
"631","membntu"
"632","oy gojek kemarin pinjam uang go pinjam login knapa byr marah email tergabubg go pinjam chat email ku lunasin brti byr login aplikasi tingkat gojek suka eror"
"633","pagi jam order info rute jalan kitar tinggal tutup tutup jalan jalan capai titik jemput bgm kompesasi kecewa maaf"
"634","gojeg mantap"
"635","mudah"
"636","bantu sekal thank gojek"
"637","bantu jalan aktifitas thanks gojek"
"638","overall oke"
"639","bagus"
"640","bantu sekal dsaat jalan dmn macet gojek solusi motong jalan jalan hindar macet"
"641","go club kayak anak sultan voucher diskon paylater doang sdgkan orang go club voucher diskon anak sultan malas transaksi gojek"
"642"," saran adakan mesen goride gocar dadak alas ya suka dadak solusi makan ribet"
"643","character"
"644","promonya banyakk"
"645","jasa mahal ayo pindah aplikasi sebelah ayo kawan kawan unisntal aplikasi"
"646","drevernya sabar sopan"
"647","gojek mantab"
"648","lelet"
"649","bintang"
"650","saldo gopay order isi rb sedot rb"
"651","susah cari driver tolak sekal jauh"
"652","kecewa sih gojek promonya gofoodplusnya cuman berlaku jarak km goclub promonya mahal"
"653","biaya layan berat"
"654","mesan aplikasi kawan kawan egois dengar drivernya kadang jemput suai komen dengar aplikasi"
"655","sip"
"656","mantap"
