"","x"
"2517","tingkat promonya gratis ongkir nya"
"2518","biaya aplikasi mahal go ride murah sih kuning"
"2519","downdl ya"
"2520","pengin kerja usaha"
"2521","mantap"
"2522","ribet apk"
"2523","halaman bantu lemot anying"
"2524",NA
"2525","abc"
"2526","orang sopan"
"2527","my savior"
"2528","mensejahtrakan drivernya"
"2529","puas"
"2530","s ngat b rmanf at"
"2531","bantu aktifitas trimakasi percaya faailitas gopaypinjam gopaylaternya"
"2532","ok"
"2533","mantap"
"2534","logout login x apl cacat"
"2535","gojek karya indonesia istimewa akses disabilitas tunanetra kembang"
"2536","kualitas tingkat tarif disesuaikan"
"2537","thanks jek"
"2538","senang sekal"
"2539","diskon"
"2540","bantu"
"2541","aplikasi go jek akal driver jauh jarak driver kilo titik jemput gojek efisien"
"2542","an driver ya potong ya gede"
"2543","aplikasi bagus bintang"
"2544","gofood bohong gratis ongkir klik biaya ayan kayak rentenir gede malas gue jajan gofood"
"2545","samgat bantu"
"2546","good"
"2547","good"
"2548","bagus lancar aplikasi"
"2549","ongkir mahal plus biaya service kalah saing grab woi top up gopay promo"
"2550","rugi driver custamer bayar ribu nyata driver hapus layan duble order driver"
"2551","order gofood tukar order rugi"
"2552","jek an driver lo tuh anyeb anak istri butuh makan potongnnya"
"2553","lambat gara gara gojek sial jam gojek jam"
"2554"," gojek maaf ya telat byr paylater ku tanggung byr thx akun ku aktif"
"2555","ramah murah"
"2556","mantap"
"2557","aplikasi coy dobrak maju teknologi seteru opang opang apk serah sih apk apk enak aman aman cari cari uang aplikasi "
"2558","tantang adiktif tingkat sulit imbang"
"2559","sikap driver ramah sopan"
"2560","mantap"
"2561","disko"
"2562","bagus bantu"
"2563","ok "
"2564","promo grab eh isi gopay hilang promonya"
"2565","aplikasi mudah operasi ayan"
"2566","ldal pll"
"2567","kecewa"
"2568","murah nyaman"
"2569","mahal order makan gojek biaya an driver argonya customer bayar full parah sih gojek"
"2570","kecewa slow respon payah"
"2571","apasih gojek gua deh gojek jam"
"2572","bantu pergi"
"2573","lagu maulana ardiansya dangdut rege"
"2574","good"
"2575","ayan prima driver oke"
"2576","aplikasi lemot"
"2577","oke"
"2578","saldo k hilang aplikasi bagus hapus"
"2579","mantap"
"2580","oke sip pokok"
"2581","gopay sih aman lumayan ganggu pin salah dikit jam transaksi ulang hufftt"
"2582","layan biaya aplikasi uuuuuuuuussssssss"
"2583"," gojek sngat senang pokok the best"
"2584"," fitur lapor driver batal pemberitahuan baca maps urgent batal orang stres untung driver ganti mepet driver sampe gojek fiturnya maklum drivernya salah baca maps mapsnya lho maaf tulis apknya komplain "
"2585","character"
"2586","bagus bangeeeeeetttt"
"2587","mantablah"
"2588"," ya pt aplikasi karya anak bangsa sedia aplikasi"
"2589"," bantu drivernya sejahtera"
"2590","nya coba"
"2591","mudah transaksi ribet"
"2592","character"
"2593","ok"
"2594","scan qr potong dimerchant refundnya nomer hubung aplikasi tanggung"
"2595","sip pokok nya"
"2596","joszs"
"2597","beli pulsa enak"
"2598","mantp"
"2599","aplikasi dajjal"
"2600"," akurat"
"2601","puasss driver ramah"
"2602",NA
"2603","suai tuju"
"2604","apk gojek lemot ya koneksi internet okey enak apk gojek"
"2605","good"
"2606","alhamdulillah gojek mudah pergi"
"2607","i k"
"2608","bayar gopay sih oke ya kelipat top up top up alfamart ya kena admin kukira mudah nyata njelimet fleksibel"
"2609","lambat sekal bug nya"
"2610","lapor aju mohon dana proses minggu proses mohon dana saldo butuh moga cepat proses"
"2611","bagus"
"2612","mending grab"
"2613","aplikasi cocok makan discontnya gofood mantap"
"2614","bantu"
"2615","transportasi top"
"2616","bpk driver ojolnya curhat ongkir beda custemer kena biaya potong ngambil untung ya bpk driver ojol pantesan ayan driver muas kayak susah cari driver kadang pas driver bau badan gila suka ngebut jalan order gosend food sopan kayak"
"2617","tggava"
"2618","bintang"
"2619","klik orang buru meeting lambat gagal gojek ya gercep cuman iklan gercep aplikasi ribet cancel terlau"
"2620","mantap ayan asik"
"2621","biaya mesan mending hilang biar murah"
"2622","mantap suka gojek"
"2623","murah potong harga"
"2624","driver cepat tanggap kenal medan semangat gojek driver"
"2625","uninstal"
"2626","promonya dibanyakin ya"
"2627","driver gojek ya customer driver butuh ya driver mobil kadang ambil order jalan bingung jalan ambil driver ya jamur biar gerti driver mobil gojek susah suka hati mengcancel order ya harap gojek wejang driver ayan customer"
"2628","mantaps"
"2629","bagus"
"2630"," ya gojek khusus gopay acc lapor data hilang lapor sistem"
"2631","oke"
"2632","aplikasi bagus mantap ojolnya sopan ramah"
"2633","gojek indonesia bikin sistem driver lawan arah suspen kayak kayak resah pegguna jalan raya"
"2634","bagus"
"2635","gojek hormat menu hapus riwayat"
"2636","ok"
"2637","aplikasi somplak driver panas panas customer imbal balikpanya driver bodoh sekal"
"2638"," voucher go food"
"2639",""
"2640","tagih gopaylaternya gasabaran"
"2641","menu hapus daftar rekening potensi salah transfer milik rekening daftar tutup ganti nomor rekening"
"2642","aplikasi siksa customer driver ongkir mahal driver kena komisi bayar ongkir nyata driver cuman an driver order gabung rugi makan dingin driver rugi ongkos driver"
"2643","bagus"
"2644","ok"
"2645","libat"
"2646","dobel order customer bayar driver sehat kah aplikator argo driver jrak tarif ribu driver bensin kuah bakso bhan bakar nemu customer bawel sbaran allahu akbar jeeeekk kesi mitra"
"2647","bantu"
"2648","aplikasi bayar"
"2649","ok"
"2650","gun aplikasi alih aplikasi "
"2651","tengkyuu"
"2652","sangan kecewa aplikasi alami lihat promo salah mohon cobalagi relog update aplikasi mohon bantu"
"2653","mantap gojek"
"2654","salam aspal"
"2655","ok"
"2656","ok"
"2657","habis laku order apl error uninstall install repot go pay muncul"
"2658","aplikasi buruk mahal kalah aplikasi lalamove"
"2659","batu rakyat"
"2660","gojejk bantu harga jangkau driver bagus ayan cepat muas"
"2661","parah sih cancel order drivernya pilih opsi sengaja bookingan cancel nyata drivernya marah marah bentak nunjuk nunjuk bilang manusia manusia salah omong gaperlu langsung marah marah kayak attitude perkara cancel omong bawa orang tua didik tuh driver enak omong"
"2662","aplikasi tf bank estimasi"
"2663","mantap"
"2664","ribet asih vocer syarat meh bangkrut gojek"
"2665","aplikasi parah ganti nomer update nomor nomor kode otp sms wa email otomatis saldo gopay nomor akun ya kepake malas aplikasi mending maxim grab"
"2666","upgrade gopay plus sulit ulang coba bisa bantu"
"2667","good"
"2668",""
"2669","bayar super cepat lancar"
"2670","goodjobs"
"2671","lu promo diskon ongkir lu naikin x lipat bohong hadehhhhhhh kekmana sih harga makan ongkir mahal ongkirnya jarak km kayak gue setia lu ditinggalin orang lo"
"2672","senang"
"2673","jam kirim lapor selesa aplikasi top up laku transaksi"
"2674","mesti akun login no"
"2675","mudah bantu"
"2676","pusat bantu layan solutif najis"
"2677","bagus pokok"
"2678","nyaman ramah"
"2679",NA
"2680","rugi gofood prioritas driver order gabung kecewa kerja gojek"
"2681","aplikasi kayak taikk dibutuhin berangkat sekolah ngebug update"
"2682","harga hmmm"
"2683","login hp link code otp"
"2684",""
"2685",""
"2686",NA
"2687","aplikasi mahal biaya food malam hujan ongkos mahal biaya driver suai plat motor atribut jarang dan driver ugal ugalan bahaya tumpang"
"2688","muas"
"2689"," saldo gopay potong top up game higs domino x tanggal mei pkl rp tanggal mei rp menonaktifkn layan bayar playstore gojek main game notifikasi saldo potong respon bantu apk live chat admin langsung sesak saldo lenyap uang segitu lumayan"
"2690","pas pengin tf bank eh peding hr pliss alami"
"2691","ok"
"2692","bintang pokok nya"
"2693","very best application"
"2694","kecewa gue cari nomor rumah gue parah an driver spesifik"
"2695","min aktif ubah pin email"
"2696","ok"
"2697","apk tolol buka jaring kencang"
"2698",""
"2699","pencil jangkau gojek"
"2700","anjir login minggu sistem pending kwkwk"
"2701","murah cepat"
"2702","penuh muncul menu tarik tunai via atm gojek thanks gopay wajib bintang"
"2703","ok"
"2704","bagus"
"2705","good"
"2706","oke"
"2707","kak bantu lupa sandi coba pin masalhbya kartu daftr krgopay hlng enggak mana carabya lihat pasaword apk gopy ku"
"2708","simpel bonus"
"2709","ribet"
"2710","mantap"
"2711","oke"
"2712","ok"
"2713","good aplikasi"
"2714","driver gojeg pilih order sabar gojeg ayan bayar"
"2715","oke nice"
"2716","oke"
"2717","transfer rek bank suruh upgrade kolom upgrade"
"2718","siph"
"2719","drivernya cepat barang rapi kadang susah gosend trima"
"2720","ku transfer gojek bank bri bilang pas cek banking saldo gopay eek komplant"
"2721","tau ya voucher gofood kayak beda deh potong dikit hmm kayak nya"
"2722","gojek puas ayan gojek moga amanah"
"2723","maps aplikasi akurat lari suai lokasi alamat mesan order"
"2724","min mohon notif chat driver soalny kadang driver ngechat muncul notif nya"
"2725","driver ganti mulu lapar gue"
"2726","aneh aplikasi"
"2727","mantap"
"2728","duh sakit mu tf rek gagal verif mulu deh kadang duh kesal"
"2729","cepat nya"
"2730","be gosen kes"
"2731","topp "
"2732","bagus"
"2733","bagus"
"2734","good"
"2735","trasnsfer ya pin udab ganti vin ganti trasansfer ya sistem nya"
"2736","mantap"
"2737","aplikasi tinggal langgan"
"2738","muas"
"2739","mantap"
"2740","sampah"
"2741","character"
"2742","coba manfaat gojek"
"2743","drivernya"
"2744","kecewa order eh promony bugny"
"2745","aplikasi hancur"
"2746","mudik min"
"2747","mantap enak"
"2748","ojol bagus"
"2749","bantu"
"2750","good"
"2751","ok "
"2752","habis magrib eror salah sih bintang"
"2753","bagus sekal"
"2754","aplikasi bantu"
"2755","msen mkanan loding kga menu gambar pketan fulll zzzzzz"
"2756","mantap"
"2757"," uninstal download akun gabiza nih"
"2758","bantu mudah praktis aman"
"2759","bagus ayan"
"2760","bagus"
"2761","gojek seruh "
"2762","gojek kecewa mhn tah sukses"
"2763","cs tanggap lambat sekal laku ubah data akun nomor hilang ambil orang"
"2764","info biaya administrasi transaksi harap dimengerti maklum ya guys cmiw"
"2765","promonya gkadaa padalan beli makan promonya ongkir mahal beda kualitas mohon"
"2766","eixn"
"2767","aplikasi oke drivernya bagus cuman susah cari drivernya cuaca hujan moga"
"2768","biar bintang bicara nilai"
"2769","sekal"
"2770","mohon diperjelaskn total biaya digopaylater rugi dalm beli pulsa dicamtumkn biaya admin ya harus ya detail bayar coba cek biaya gopaylater sebelum ya maaf bintang melyani mohon teliti"
"2771","alamat rumahmya mbak bu"
"2772","puas ayan"
"2773","puas"
"2774","nice"
"2775","aman lancar tuju"
"2776"," ya gojek moga sukses ya"
"2777","las les ribet"
"2778","loading monangis anjing"
"2779","bagus"
"2780","gojek go go grow must be number one"
"2781","bagus"
"2782","keren"
"2783","cakep"
"2784","oke deh pokok"
"2785","ok"
"2786","gofoodplus iklan youtube paket pembeliah paket bolak komplen maaf doang bukti screenshot foto suruh kecewa buang uang direfund motong ongkir orderq bikin panas lihat iklan youtube moga paket hapus biar ngerugiin orang"
"2787","ok"
"2788","bagus"
"2789","propesional nyata driver app konfirmasi "
"2790","bantu butuh"
"2791","nice"
"2792","done"
"2793","apss mudah bantu"
"2794","aplikasi bantu sekal go jek"
"2795","aman nyaman cepat thx tingkat"
"2796","oke"
"2797","apk go daftar sih"
"2798","gopaylater cicil fitur gopinjam diaktifin"
"2799","mantap"
"2800","hancur"
"2801","good aplikasi"
"2802"," aplikasi lemot"
"2803",""
"2804","mantap"
"2805","mahal biaya harga makan"
"2806","mantap"
"2807","ya"
"2808","bantu sekal kasi gojek"
"2809","bantu"
"2810","biaya layan gede"
"2811","bintang bicara"
"2812","gojek pilih utama rides hailing apps"
"2813","kode bayar bilang internet mati sinyal bagus kuota gara gara paksa bayar tunai untung bawa duit cash coba "
"2814","harap layan gojek aman konsisten hadap konsumen langgan nya"
"2815","sebelah lokasi driver driver jauh bhkan bbrapa cansel driver lokasi pngambilan ongkir gila mahalllll mahal ya trlanjur gojek prtimbangan uninstal"
"2816","performa anjlok drivernya lelet jalan jalan buru buru"
"2817",NA
"2818"," bayar samsat gopay gagal sinyal coba aps top up gopay gilir tf gopay sulit sekal informasi update gopay plus alur update gopay plus klik mohon aplikasi"
"2819","good"
"2820","habis nih duit investor rasai goclub anak sultan benefit hilang cashback rb turun rb tau tau hilang benefit langgan gofood plus hapus ya faedah gojek aplikasi ramah orang rumah pusat kota gofood plus ring ongkir hilang langgan yaudah bye"
"2821","fine senang"
"2822",""
"2823"," sangeet bantu"
"2824","pokok mantap deh"
"2825","character"
"2826","sipppp"
"2827","suka apl bantu"
"2828"," gojek sih"
"2829"," "
"2830","bodoh deh gojek gofood lokasi nyasar nama lokasi beda gila coba nama nama gang nomor titik koordinat beda menit dipesen dibatalin harga dinaikin aplikasi ayan bego ckckck sangka aplikasi bagus kayak ampas cs susah hubung ngerugiin dibodohin"
"2831","parah mahal nya"
"2832","gojek transfer saldo gokek rwk baca upgrade gopay plus aplikaainya mama"
"2833","nyaman"
"2834","bingung cashback"
"2835","alhamdulillah puas"
"2836","mantap"
"2837","btw report bug bug order bayar makan muncul offer error diskon jebak situ klik ok hapus diskon muncul offer error gofood kasi edit solusi restart aplikasi"
"2838","maps area kota kupang luas kakak maksimal"
"2839","myny io kak"
"2840","aplikasi bagus rumah"
"2841","bantu sih gojek kaum mager kayak makan pergi tinggal klik doang lumayan mahal ya tarif pribadi anggap moga sejahtera driver usaha mata "
"2842","bagus"
"2843","keren"
"2844","upuooui"
"2845","bagus"
"2846","oke"
"2847","gopay pinjam parah benerrrrr njirrrr telat denda ribu asssuuuuuu"
"2848"," aplikasi nya"
"2849","mantaf"
"2850"," nih apk"
"2851","alam"
"2852","ampun cashback biaya topup topup mending dana rp kecewa ya langsung bintang"
"2853","m"
"2854","lumayan bantu"
"2855","character"
"2856","bagus thanks"
"2857","sangant efisien"
"2858"," tanggal jatuh tempo gopaylater tanggal pas"
"2859","balikin fitur bida voc sumpah biaya layan gede voc kadang kepake min penuh layan reguler hemat"
"2860","asyik nyaman moga tah"
"2861","tarif jangkau"
"2862","thx bantu alhamdulillah"
"2863"," bahagia konsumen sejahtera driper"
"2864","mantap"
"2865","ok"
"2866","mantap"
"2867","manfaat"
"2868","capek deh parah im bayar gojek cashback eh coba aplikasi promo simpati bayar gopay coba eh cashback aplikasi an pikir"
"2869","mantap"
"2870","bosog koyo apk gopartnermu ranek bedone"
"2871","driver rate ramah bintang nol tips total biaya kayak ikhlas nganter ngeyel sebel judes nyetir gocar hati hati bawa lahir bawa bayi lahir layak driver rate anter tinggal chat biar cancel ikhlas nganter bayar tips"
"2872","best app"
"2873","lambat"
"2874","mudah cepat tanggap"
"2875","mantap"
"2876","oke"
"2877",NA
"2878","tks mas driver is ok"
"2879","mantap "
"2880","sanagat bantu"
"2881","mahal ongkir nya"
"2882"," saldo cepat transfer bank status uang hak orang tahan aneh"
"2883","ayan ramah that was good"
"2884","eror"
"2885","ok"
"2886","trbantu sdikit saran aplikasi gocar terang warna kendara"
"2887","pokok mah mantap"
"2888","trima layan"
"2889","aplikasi aneh gilir bayar gopay later suruh daftar ulang ktp coba bilang nyerah nyerah go pay solusi nya"
"2890","suka gojek keren trim"
"2891","alam buruk gocar driver ambil order orang menit tau tau driver batal rugi menit biaya lambat "
"2892","lumayan mahal"
"2893","good app for helping people"
"2894","good job"
"2895"," kerjasamanya"
"2896","ok"
"2897","bagus"
"2898","kapok gofood driver anter makan lihat maps driver henti kitar menit jalan tuju lokasi lokasi cek makan alias makan drivernya"
"2899","sensitif orang tuh aplikasi biar mudah orang usaha"
"2900","jos"
"2901","okee"
"2902","biaya tetekbengek kedok layan akal mahal ongkir harga makan gojek customer mikir ribu order layanan gojek"
"2903","keren"
"2904","ok"
"2905","error"
"2906","produk oke layan promo jalan hehe"
"2907","moko tb ce xxdsddv baca baca kiojd no nw rt el rl fcbc"
"2908","nongol iklan sekal gue hapus aplikasi gojeg gue tahi iklan maksa bangsat"
"2909","manusia intropeksi aplikasi"
"2910","bagus"
"2911","semenjak gopay susah trangsaksi filtur akun ku blokir"
"2912","mantul"
"2913","gojek hancur bunuh lu bikin gocar hemat driver ogah bawa hemat tumpang susah cari driver cust pindah kesebelah tinggal nggu nta lu hancur"
"2914","nice"
"2915","mantab"
"2916","hedeh"
"2917","login"
"2918","keren"
"2919","ayan cepat"
"2920","gopay hubung tokopedia"
"2921","ayan"
"2922","jek gojek ngekei promo sak upil syarat sak kadang kocak niat ngekei promo kie nk iso syarat opo kie bayar atur nk sg psen kayak nduwe duit cash iso mati ren goro syarat mu kwi"
"2923","mending tutup bayar gede driver peres tenaga potongan tektekbengek an driver moga aplikator balas"
"2924","hapus susah syarat lengkap kayak"
"2925","ok"
"2926","mantap"
"2927","character"
"2928","driver ramah enak ajak obrol cepat"
"2929","character"
"2930","top"
"2931","bagus"
"2932","mantap gojek jaya"
"2933"," gofood driver suka aplikasi lelet ganti driver"
"2934","laku transaksi janggal ilegal gopay nonaktif blokir alas laku transaksi janggal aneh lapor kekeh pernyatan tau kecewa gopay ewallet tau sistem nya"
"2935","mantab"
"2936","senang aplikasi mudah cepat ajar"
"2937","mantap"
"2938","maaf nih ya gojek tau driver bawa motor tuh lihat kanan kiri lihat situasi jalan bawa motor alam tabrak pas gojek tuh bikin trauma motor takut ulang jalan wilayah jakarta utara hati truk kontainer sekal maaf "
"2939"," gofood gojek alas internet jaring normal aplikasi "
"2940","mantap"
"2941","aplikasi pemerasan"
"2942","aplikasi error ya driver ya"
"2943","mantap"
"2944","puas mantap"
"2945","beli saldo emoney rb saldo sedot ganti cuci tang nyuruh bank mandiri haduhhh kecewa "
"2946"," kode otp ya ganti pin"
"2947","aplikasi tarik tunai"
"2948","ok keren"
"2949","transaksi jt fitur paylater aju tolak mulu beda sih oren belanja langsung diacc paylater gue fitur gratis transfer bank gue uniinstal deh gopay worth sih oren"
"2950"," metode tarik saldo tunar"
"2951","bantu"
"2952","cari alamat tuju jemput susah nama lokasi alamat temu"
"2953","gojek update susah nya"
"2954","bagus"
"2955",NA
"2956","turuini reguler transkai mesti ngulang parah "
"2957","gila gofood harga lipat beli apps"
"2958","gojek mudah sukses nya"
"2959","selamat juang semangat tampa kenal lelah"
"2960","ukur fiyurnya itu fungsionalitas ukur efisien"
"2961","alhamdulillah mudah"
"2962","bagus"
"2963","fitur gojek aneh komunikasi cs kirim otomatis kendala order sengaja dibatalin peyelesaian diskusi kenpa menu batal order sengaja pencet"
"2964","josss"
"2965","payah jelek nih aplikasi sampah"
"2966","aplikasi kecewa profesional moga mantul"
"2967","cepat hemat uang"
"2968","sip gojek"
"2969","driver cancel apk tombol cancel parah hubung cs bot kait"
"2970","ok"
"2971","top "
"2972","tuju iklan tlng data"
"2973","ribet bayar gopeylater"
"2974","keren mahal"
"2975"," ya upgrade gopay gopay plus gilir upgrade ktp dukcapil beda lahir"
"2976","bagus"
"2977","aplikasi buruk"
"2978","ayan ok drivernya ramah tau jalan"
"2979","ribet kendala cs hubung susah"
"2980","top"
"2981","amazing"
"2982","oke"
"2983","ok"
"2984","mantap"
"2985","good"
"2986","sips"
"2987","eror mulu sih aneh topup rb kagak "
"2988"," fitur cicil gopaylaternya"
"2989","aplikasi jos"
"2990","cepat jemput"
"2991","potong gede alah bank keliling coba turunin potong biaya kabur konsumen"
"2992","aman nyaman"
"2993","mm ink ok om"
"2994","canggih"
"2995","muas"
"2996","bintang tarik tunai"
"2997","cepat"
"2998","bentar bangkrut gojek tokopedia isu pindah aplikator ecomers tiktok shop moda ojol maxim indriver biaya aplikasi dllnya goto tinggal customer mitra"
"2999","jemput beda maxim maju an mundur"
"3000","gojek ok"
"3001","aplikasi buka langsung update"
"3002","diandalin sakit makan minum langsung menit deh"
"3003","gila gofoodnya mahal ongkir biaya layan biaya layan malas gojek"
"3004","aplikasi ngelag jaring wifi paket aman"
"3005","top"
"3006","driver kirim cepat bintang turun"
"3007","cepat tanggap"
"3008","sih mncbny brngkl cocok gojek nya"
"3009","bagus "
"3010","ribet mkk motor gojek "
"3011","ok "
"3012","thanks gojek"
"3013","bantu pol"
"3014","pay latter blokir otomatis kecewa musibah deh kecewa gojek xp ku dikit juragan well kecewa"
"3015","mantap"
"3016","call center hubung via email balas payah"
"3017","gojek daftar kamuuu"
"3018","bahaya teroris tubuh pt gojek anti kristen bersih nkri harga mati"
"3019","buka aplikasi langsung eror sinyal ya mohon"
"3020","harga voucher beda voucher harga ubah ribu situ tera besaran diskon potong voucher nyaman aplikasi gojek harap moga bentuk evaluasi"
"3021"," tf gopay upgrad orang upgrade piktur upgrade enak tf langsung tf gunain qris biyaya admin rbu giur untung gopay uphgade"
"3022","character"
"3023"," asih misi order k misi selesai ngechat cs tanggap suai harap deh mending pindah sebelah"
"3024","mantap"
"3025","update balance todak admin komplain tutup permalasahan tanggung"
"3026","ganggu transfer gopay bank jago tf tahan "
"3027","moga nya"
"3028","bantu"
"3029","nyaman aman"
"3030","tarik tunai ya malas apk nih susah mah butuh duit kartu atm"
"3031","mahal grab"
"3032","good"
"3033","promo goride"
"3034","mantap"
"3035","bantu malas"
"3036","ok"
"3037","eror ginisih top up tf saldo suruh dieprbarui"
"3038","drivernya ramah"
"3039","bantu"
"3040","gopay gopay plus upgrade gopay plus"
"3041","good"
"3042","gopay ganggu ya kemarin bayar qris gagal ros"
"3043","customer hormat cancel order aplikator sistem kejam kejam jajah lu cancle order gua driver tanggung akibat susah order faham ya"
"3044","mitra driver gojek performa order cancel mohon pengaruh order nol order mohon tinjau"
"3045","oke"
"3046",""
"3047","min susah ya"
"3048","bantu"
"3049","maaf bintang bicara tingkatin ayan server driver harga mahal driver"
"3050",NA
"3051","good"
"3052","character"
"3053","ok mantap"
"3054","diskon nya"
"3055","bagus ayan nya"
"3056",NA
"3057","cepat tuju"
"3058","gopaylater ngejebak bayar denda sengaja orang lapar detail baca"
"3059"," hapus tarip ribu mitra driver layan double order"
"3060","mantap"
"3061","more safety syaa allaah"
"3062","bagus sekal transportasi online sejarah aplikasi mudah driver cepat tanggap konsumen pokok gojek"
"3063","driver ramah sopan"
"3064","good job"
"3065","aplikasi ok"
"3066","respon cepat"
"3067","mantul"
"3068","aplikator sedia jasa turun lapang rugi siksa opang enak atur contoh jemput gang st cibinong miris jalan jalan raya drivernya aplikator sedia jasa tuntas detail detail lapang selesa untung kesebelah "
"3069","abid ripper"
"3070","ya kak gojek camat patimuan cilacap"
"3071","ok"
"3072","aplikasix mantap bantu"
"3073","cepat"
"3074","mantap bos ku"
"3075"," gojek gofood ngebantuin gojek sometime voucher potong harga eheekk luvv itt"
"3076","semenjak voucher sekal gofood gocar goride mikir biaya muahal"
"3077","okokok"
"3078","malas pas driver didouble order sistem makan"
"3079","bagus"
"3080","pilih"
"3081","oke"
"3082"," diskon"
"3083","wew"
"3084","jelek anjlok aplikasi"
"3085","lupa nomor hape gara hape hilang lanjur verifikasi ktp gojek pas lapor cs bantu nomernya jual login akun gojek kecewa"
"3086","maling beli paket data proses gagal yaudah balikin gopay orang tolol"
"3087","ayan lambat"
"3088","mantap"
"3089","daftar ribet"
"3090","good"
"3091","mantul"
"3092","nyaman"
"3093","sayang taehyung"
"3094","akun laku transaksi aneh daftar gopayplus telat bayar gopaylater gojek blokir transaksi goride gocar gofood gomart gomed top up pas beli pulsa bayar tagih pbb nyata akun batas lapor salah tampar keras tebang pilih pindah gue grab ovo bye nih apk sampah kecewa "
"3095","mantap"
"3096","gopay pinjam aneh pinjam dana tanggal april jatuh tempo tanggal mei email gojek gopay findaya ubah suruh email email lempar rugi paraahhhhh"
"3097","mm"
"3098","oke"
"3099","pemakaian kendala serius"
"3100","nice"
"3101","jos"
"3102"," gojek motor hehe"
"3103","keren"
"3104","tingkat ayan"
"3105","kecewaa pokok driver gocar butuh anter igd rumah sakit cancel driver maaf basa basi cancel bikin kecewa drop tumpang eh ujung ujung cancel kecewaa berat ya kayak driver enak cancel cancel otw uninstal"
"3106","ramah bintang"
"3107","login akun gojek sinyal oke full hadeh lemot "
"3108","manfaat sekal "
"3109","bantu "
"3110","mantab"
"3111","ganggu sih pagi"
"3112","ok"
"3113","anjirlah go transit gue telat uang cash gabawa kartu andal kecewa error jam prime sumpa kecewa parah langgan setia "
"3114","jaring sibuk bikin orang berangkat kerja siang"
"3115","parah aplikasi update go transit ngebleng"
"3116","uninstal uninstal gojek aplikasi drivernya kesal buruk sekal mending grab maxim"
"3117","ok bonuss"
"3118","transfer bank g la"
"3119","malam susah driver resto jam"
"3120","transaksi qris gagal terussss"
"3121","langgan gofood pindah haluan kesebelah ya maaf jasa apk mahal fitur didpat suai bayar"
"3122","hemat aman murah cepat sopan ayan nya"
"3123","real lapang aplikasi tarif jalan kilometer jalan kinerja aplikasi driver aplikasi tumpang alas ganggu internet lach lach lach aspek mudah gadang karya anak bangsa nyata nol"
"3124","enak"
"3125","deevernya ramah"
"3126","top up cepat gilir tf bank suruh orang urgent woy bikin aplikasi susah orang"
"3127","gopaylater plus tolak"
"3128","good"
"3129","min bantu lihat tagih gopaypinjam"
"3130","mantap"
"3131","lu asik min"
"3132","tks"
"3133","kirim tunda tunda aplikasi taii"
"3134","cepat driver sigap"
"3135","moga maju gojek"
"3136","puas"
"3137","gojek beda gojek"
"3138","good"
"3139",""
"3140","kapitalis mitra driver duduk kursi empuk ruang ac panas hujan lapang mitra driver panas hujan curang potong"
"3141","good"
"3142","ok"
"3143","aplikasi bagus praktis pembyaean praktis"
"3144","aplikasi go jek gobis ya gobiz daftar indak indak terinstal daftar ulang indak "
"3145","mantab"
"3146",NA
"3147","kemarin maseh tf eh diauruh apdate aplikaai parah susah akun blokir aktiditas curiga ribet"
"3148","goride promo jek eror eror mulu payyahhh sitem nya"
"3149","niceee"
"3150","tah ayan"
"3151","sikap driver utama"
"3152","kerennnnnnn"
"3153","ok"
"3154","lumayan bantu"
"3155","gojek ribett"
"3156","drivernya"
"3157","mantaf pokoke gojek"
"3158","kayak"
"3159","aplikasi cacatttt"
"3160","buruk"
"3161","biaya aplikasi bengkak biaua aplikasi cantum total bayar paylater malu paylater struk beli muncul gopaylater driver resto kena"
"3162","harga makan mahal beda beli"
"3163","mantap"
"3164","top up transaksi butuh cepat ribet"
"3165"," promo"
"3166","sip lumayan "
"3167","cinta hehe ayan mwah"
"3168","install aplikasi transaksi online gofood"
"3169","ayan bagus"
"3170","top"
"3171","very good"
"3172","loh eror sinyal order eror login susah plisss apknya bikin emosi ya pindah apk"
"3173","ok"
"3174"," food gojek mahal biaya ongkir rb trip jarak murah aplikasi sebelah aplikator kau custamermu pindah sebelah"
"3175","dark mode"
"3176","woi ngentot goshop gwww"
"3177","bantu rau"
"3178","drivernya sopan"
"3179","keren"
"3180","marketing gojek menawarkan paylater coba iseng usut usut acc syukur acc gojek tau topup paylater tetangga nganggur acc utama gaya peser bayar acc rezeki mah salah asih"
"3181","sistim aman akun customer akun driver buruk sekal toolong bukti driver gojek kota bekas wahyudin rachman salam aspal tq"
"3182","promo go food"
"3183","cepat"
"3184","mantap"
"3185","driver ramah kirim cepat"
"3186","mantaappp"
"3187","gaasik gua rider gojek gua nongkrong bikin go instant orang kantor kayak orang sales nanya paksa go instant akun order sistem parah ngehargain orang nongkrong dibase campnya basa basi"
"3188","biaya jek"
"3189","driver ramah"
"3190","aplikasi bantu"
"3191","bagus aplikasi fitur tarik tunai baca aktif"
"3192","aplikasi hp buka"
"3193","sakit hati gue deh stop layan gara gara susah daftar gocar"
"3194","bagus"
"3195","moga bagus ribet ya hehe"
"3196","nitip sendal entar"
"3197","bagus tf premium ya bintng"
"3198","mesan ada chet ada telepon driver cepat respon driver kena salah an apa mesan makan respon cepat konfirmasi order food "
"3199","good"
"3200","kayak gawai kaya gaji gede peduli sekrg murah indriver maxim"
"3201","keren"
"3202","bilang drivernya ngambil diaktifin gojek"
"3203","mantap tuh"
